id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,number_of_reviews_ltm,name_processed,assumed_gender,total_of_host_listings_count
68508,340192,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,195,30,2,0.12,75,1,privat entri 180 view citi mountain lake,female,2
119103,601600,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,90,3,513,3.58,290,50,teeni tini guestyhous,male,2
338091,1717589,Capitol Hill,Broadway,47.61965,-122.32374,Entire home/apt,225,30,120,0.9,179,0,spaciou great locat view,female,2
132120,378445,Other neighborhoods,Wallingford,47.66938,-122.33516,Entire home/apt,75,30,126,0.88,83,0,motherinlaw apart seattl,male,1
356608,1787819,Downtown,First Hill,47.61401,-122.32235,Entire home/apt,190,2,189,1.44,111,28,st john apt 309alkscor 99,male,2
132160,558743,Other neighborhoods,Green Lake,47.68205,-122.34275,Entire home/apt,144,3,365,2.58,125,32,green lake guest suiteith sauna,female,1
151545,306615,Capitol Hill,Portage Bay,47.65062,-122.32008,Entire home/apt,299,30,48,0.34,22,2,beautifulat view condo near uw eastlak,female,1
170273,804996,Queen Anne,Lower Queen Anne,47.62734,-122.35793,Entire home/apt,290,3,283,1.99,320,23,stun three bedroom histor home seattl center,female,1
1000883,5486919,West Seattle,North Admiral,47.58246,-122.39668,Entire home/apt,125,2,223,1.88,47,24,westsid hideaway,female,1
210316,2438665,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,86,30,75,0.7,330,0,5star hous 9 red room,female,4
365550,1025723,Downtown,International District,47.60002,-122.32742,Private room,116,3,806,6.02,146,40,art loft downtownidstadium,male,2
368403,4186078,Other neighborhoods,Green Lake,47.68528,-122.33125,Entire home/apt,549,4,44,0.38,295,1,larg luxuri lakesid seattl home,male,1
1012003,5567436,Capitol Hill,Broadway,47.63948,-122.32236,Private room,145,30,36,0.3,365,0,capitol hill gem great locat,male,1
370361,1865986,Other neighborhoods,Phinney Ridge,47.68271,-122.35768,Private room,70,3,296,2.21,56,40,privat guest studio phinney ridg,male,2
387078,1121532,Capitol Hill,Broadway,47.62361,-122.32577,Entire home/apt,123,30,183,1.47,346,1,modern capitol hill locat great monthli rate,female,6
392140,3313235,Beacon Hill,North Beacon Hill,47.58576,-122.31581,Private room,80,3,319,2.41,342,31,fantast viewclos light railsolar power,male,2
392779,437055,Beacon Hill,North Beacon Hill,47.57389,-122.31428,Entire home/apt,107,3,191,1.45,158,30,21 plush modern hilltop retreat,female,1
215882,971336,Rainier Valley,Columbia City,47.56173,-122.28351,Entire home/apt,110,2,384,2.77,61,0,relax garden cottag park,female,1
219532,1037115,Other neighborhoods,Fremont,47.65589,-122.36055,Entire home/apt,300,30,90,0.68,73,0,fun home funki fremont seattl,female,1
1802663,9450725,Other neighborhoods,Wallingford,47.65428,-122.33766,Entire home/apt,116,2,321,2.8,108,37,urban oasisithinallingford home,male,1
1820794,9533123,Queen Anne,East Queen Anne,47.63089,-122.34815,Entire home/apt,134,2,561,5.0,160,74,cozi suit cover backyard patioalk climat pledg,female,1
421168,2094547,Other neighborhoods,Greenwood,47.70021,-122.35106,Private room,90,2,431,3.3,139,40,greenwood studio,female,1
430610,165390,Other neighborhoods,Wallingford,47.65356,-122.33952,Entire home/apt,295,5,132,1.02,178,17,modern roof deck garage90walkscor rare,male,4
461234,1870781,Ballard,Whittier Heights,47.68444,-122.37338,Entire home/apt,85,4,349,2.66,306,21,brown hous guest apt ballard,female,1
490076,3921530,Other neighborhoods,Fremont,47.65617,-122.35262,Entire home/apt,87,5,415,3.86,38,25,super cutegarden charm great locat,female,3
1909058,2497928,Queen Anne,West Queen Anne,47.63812,-122.37077,Private room,100,3,170,1.52,313,19,queen ann privat bed bath,male,1
1925661,9975709,Beacon Hill,North Beacon Hill,47.57943,-122.30387,Private room,100,30,105,0.98,112,0,larg 1bdbathwalkin closet park includ,female,1
1023693,5635244,Ballard,Whittier Heights,47.67936,-122.3704,Entire home/apt,96,3,345,2.94,198,35,get cozi hip vintagestyl retreat,male,2
1928010,8315334,Capitol Hill,Broadway,47.62543,-122.32496,Private room,79,1,497,4.41,43,34,master suit b capitol hill home,male,3
491958,2431399,Rainier Valley,Columbia City,47.56007,-122.27873,Entire home/apt,79,2,420,3.22,80,35,columbia citi treehous vacat rental,male,1
493591,2438665,Other neighborhoods,Crown Hill,47.7019,-122.36781,Private room,50,30,182,1.39,365,1,5star hous 5 marilyn monro room,female,4
1042022,5736221,Capitol Hill,Madison Park,47.63326,-122.28009,Entire home/apt,89,2,350,2.91,307,41,perfect locat lakeashington,female,1
564220,2774354,Rainier Valley,Mount Baker,47.57783,-122.29251,Private room,53,2,226,1.75,119,30,cute bungalow 2 near light rail,female,2
564428,2774354,Rainier Valley,Mount Baker,47.57796,-122.29373,Private room,54,2,285,2.19,109,21,cute bungalow 1 near light rail,female,2
1976382,1121532,Capitol Hill,Broadway,47.62372,-122.32417,Entire home/apt,123,30,96,0.87,346,3,modern luxuri capitol hill,female,6
1043194,3294357,Downtown,First Hill,47.61107,-122.32888,Entire home/apt,175,30,50,0.43,365,0,bright cityview next convent ctr,female,2
1983713,10235544,Central Area,Leschi,47.59181,-122.29372,Entire home/apt,106,10,52,0.48,241,0,privat retreat citi,male,2
1984692,5525120,Other neighborhoods,Greenwood,47.68448,-122.34495,Entire home/apt,225,2,18,0.17,12,10,sunni green lake homeith view,female,1
565703,2781551,Central Area,Mann,47.620624,-122.29714,Entire home/apt,114,3,335,2.75,339,19,garden apart madison valley,male,4
1048798,5774906,West Seattle,Fauntleroy,47.52586,-122.38272,Entire home/apt,149,2,431,3.57,208,54,west seattl home dazzl view quiet tranquil,male,1
566435,2438665,Other neighborhoods,Crown Hill,47.70084,-122.36738,Private room,85,30,90,0.7,175,0,5star hous 6the hawaiian room,female,4
573942,30559,Other neighborhoods,Georgetown,47.54916,-122.31819,Private room,60,2,233,1.81,352,35,queen bee roomcool memori foam bed,male,9
2026794,10392662,Other neighborhoods,Wallingford,47.65973,-122.3322,Private room,66,30,247,2.21,89,0,west room cozi charm 1905 cottag,female,2
2033191,10437300,Other neighborhoods,Green Lake,47.67612,-122.33221,Entire home/apt,300,3,135,1.25,0,0,green lake view 2 bed 1 bath apt,male,1
1090449,2739131,Capitol Hill,Broadway,47.61769,-122.32645,Entire home/apt,103,2,457,3.8,1,50,comfi 1 bdrm capitol hill apart,male,1
2037250,1865986,Other neighborhoods,Greenwood,47.68434,-122.3572,Private room,107,3,98,0.89,89,22,bedroomith privat spalik bath,male,2
2069917,8284327,Beacon Hill,North Beacon Hill,47.57325,-122.3074,Entire home/apt,79,7,97,0.98,258,2,1 bdrm n beacon hill apteast unit,female,1
598023,2613029,West Seattle,Genesee,47.56162,-122.38812,Private room,109,3,22,0.19,364,1,west seattl home alaska junction,male,1
604600,103427,Downtown,Central Business District,47.61326,-122.33148,Entire home/apt,282,30,1,0.01,365,0,seattl 1 br,female,2
607788,103427,Downtown,Central Business District,47.61317,-122.33346,Private room,232,2,2,0.02,365,0,seattl studio,female,2
1097520,6031552,Rainier Valley,Mount Baker,47.56692,-122.28106,Entire home/apt,121,3,311,2.59,313,27,relax sophist mt baker,female,1
609252,3018655,Other neighborhoods,Greenwood,47.69647,-122.36322,Entire home/apt,275,30,3,0.04,88,0,san souci seattl clean fresh air 4 guest,female,1
1100686,3921530,Other neighborhoods,Fremont,47.65417,-122.35402,Private room,78,4,357,3.32,79,18,tree top room artsi fremont high ceil,female,3
2150760,10977007,Seward Park,Seward Park,47.55264,-122.27113,Entire home/apt,125,2,198,1.8,75,14,seward park cottag,female,1
609610,3022709,Rainier Valley,Columbia City,47.56994,-122.29403,Entire home/apt,95,3,32,0.25,176,10,place stay studio apart,female,1
609701,3023407,Other neighborhoods,Fremont,47.65607,-122.35899,Entire home/apt,110,4,572,4.41,180,30,charm fremont garden cottag,male,1
620518,3074414,Other neighborhoods,Ravenna,47.67489,-122.29078,Entire home/apt,100,30,12,0.09,365,1,spaciou quietdeck ravenna uw 045,female,91
1112092,5856339,Queen Anne,West Queen Anne,47.63555,-122.365,Entire home/apt,135,7,55,0.46,206,3,seattl backyard cottagequeen ann,female,1
635878,3074414,University District,University District,47.66313,-122.31428,Entire home/apt,90,2,40,0.34,312,4,center uw remodel 2021 spaciou 2 bed 203,female,91
2197168,11206862,Beacon Hill,North Beacon Hill,47.57882,-122.30842,Entire home/apt,139,30,169,1.52,170,1,ador cottag near light rail,female,1
2215336,11299221,Other neighborhoods,Green Lake,47.67334,-122.33451,Entire home/apt,153,2,153,1.45,181,36,2 bed greenlak apt low season monthli rate,male,4
2234730,3074414,University District,University District,47.66082,-122.31358,Entire home/apt,110,30,40,0.43,365,16,center uw brightquietood fl 205,female,91
2267862,11580391,Ballard,West Woodland,47.66577,-122.36659,Entire home/apt,115,30,44,0.53,328,0,ballard modern studio,male,1
2297917,11737076,Other neighborhoods,Broadview,47.70914,-122.36338,Entire home/apt,100,2,149,1.34,304,23,carkeek retreat,female,1
637710,3181546,Other neighborhoods,Fremont,47.653,-122.35595,Entire home/apt,220,2,139,1.12,320,16,root center univers,male,1
1114695,165390,Other neighborhoods,Wallingford,47.66215,-122.33879,Entire home/apt,295,25,79,0.66,60,4,100salkscor garag deck zoo green lake fire place,male,4
1122236,1121532,Capitol Hill,Broadway,47.62383,-122.32381,Entire home/apt,123,30,142,1.18,346,4,modern luxuri capitol hill,female,6
661708,3340441,Central Area,Harrison/Denny-Blaine,47.62563,-122.29181,Entire home/apt,165,3,10,0.17,346,0,eleg madison park townhom,female,1
2298775,225830,Northgate,Maple Leaf,47.69968,-122.30691,Private room,60,7,89,0.82,182,6,seclud set north seattl b,male,1
677266,30559,Other neighborhoods,Georgetown,47.55041,-122.31857,Private room,70,2,121,0.95,363,12,moulin roug room french style doubl room,male,9
1125133,3074414,University District,University District,47.65908,-122.31771,Entire home/apt,85,30,37,0.31,365,1,eleg quietalk uw 49,female,91
677365,926885,Delridge,South Delridge,47.52957,-122.36013,Entire home/apt,119,1,244,3.93,95,48,spaciousest seattl mid centuri modern inlaw,male,2
2358140,3074414,University District,University District,47.6579,-122.31808,Entire home/apt,80,30,43,0.39,271,3,shortalk uw clean right 3,female,91
2373176,9232171,Queen Anne,West Queen Anne,47.63956,-122.36594,Entire home/apt,81,3,181,1.64,24,1,perfect cozi apart,female,1
2391699,1123549,Other neighborhoods,Fremont,47.65401,-122.34515,Private room,56,2,575,5.36,40,51,hidden artist gem best seattleclean,male,2
1146966,3921530,Other neighborhoods,Fremont,47.65474,-122.3526,Private room,65,5,315,2.64,58,21,artsi home terrif fremont neighborhood,female,3
689309,3520873,Other neighborhoods,Broadview,47.72131,-122.35846,Private room,146,30,17,0.14,365,0,eleg cozi broadview,male,1
703058,1611114,Other neighborhoods,Wallingford,47.65144,-122.33734,Entire home/apt,265,4,207,1.62,128,15,trueallingford craftsman,male,1
2396734,4384828,Ballard,Adams,47.6746,-122.38823,Entire home/apt,104,3,135,1.23,304,12,ballard uniqu 2 bdrm 2 loft apt,female,2
2441908,12483454,Ballard,Whittier Heights,47.67596,-122.37093,Entire home/apt,95,3,327,2.96,0,8,cozi ballard cottag sleep 5,male,2
2446384,12509177,Other neighborhoods,Ravenna,47.6824,-122.30303,Private room,70,1,160,1.97,97,38,ravenna daylight basement suit,female,1
2471659,2824920,Rainier Valley,Columbia City,47.55217,-122.28502,Entire home/apt,89,2,428,4.08,312,47,charm splitlevel 1bd retreat,male,1
2474569,12657870,Other neighborhoods,Bitter Lake,47.72944,-122.35554,Private room,66,2,67,0.63,315,5,elvisould slept,male,1
2486612,120932629,Beacon Hill,North Beacon Hill,47.5739,-122.30978,Entire home/apt,85,1,338,3.07,229,27,quiet second floor zen apart,male,1
2522091,12913415,West Seattle,North Admiral,47.587074,-122.393158,Entire home/apt,147,3,182,1.66,286,23,apart ocean mountain view,female,2
2536507,5570855,West Seattle,North Admiral,47.58378,-122.39909,Entire home/apt,150,2,544,4.97,245,53,alki beach studio oasi quiet escap sweep ocean view,male,2
2578855,5507715,Other neighborhoods,Greenwood,47.68469,-122.35214,Entire home/apt,98,3,377,3.46,236,27,cozi suit even cozier locat,female,1
2586350,2536735,Rainier Valley,Brighton,47.53964,-122.27687,Entire home/apt,93,5,187,1.75,321,7,seattl apart close light rail,female,2
2586642,1452570,Interbay,Interbay,47.64157,-122.37679,Entire home/apt,221,2,83,0.78,309,6,beacon light seattl,female,4
704764,3620313,Queen Anne,North Queen Anne,47.64057,-122.36956,Entire home/apt,159,1,343,2.74,125,28,eleg vintag craftsman apartmentith garden,female,1
706385,2070664,Cascade,Eastlake,47.64307,-122.32556,Entire home/apt,120,60,546,4.31,68,24,sky cabin apartmentith view,female,1
723846,3737272,Northgate,Maple Leaf,47.69839,-122.31505,Entire home/apt,129,2,179,1.45,243,15,cozi cottag mapl leaf uw green lake,female,1
752483,450548,Capitol Hill,Broadway,47.618918,-122.315682,Entire home/apt,150,3,203,1.63,0,8,beauti capitol hill townhous near light rail,male,1
757840,3991908,Queen Anne,East Queen Anne,47.63349,-122.35611,Entire home/apt,314,4,462,3.66,273,46,hilltop hous 4 bdrm great locat,female,1
793629,4181120,Beacon Hill,North Beacon Hill,47.57734,-122.31492,Entire home/apt,115,7,315,2.52,50,4,cheeri seattl houseith view,female,1
797358,4199445,Rainier Valley,Mount Baker,47.57265,-122.29136,Private room,64,3,169,1.65,7,2,cozi privat room bath old craftsman hous,male,2
841274,4133943,Rainier Valley,Mount Baker,47.58548,-122.29458,Entire home/apt,109,3,177,1.45,279,22,goat hill hous apart,female,1
844939,4411144,Downtown,Belltown,47.61503,-122.3475,Entire home/apt,204,2,195,1.59,113,54,five star downtown design urban suit space needl view,female,2
877203,287172,Central Area,Atlantic,47.60029,-122.30185,Private room,53,30,103,0.85,226,4,jimi hendrix neighborhood 2,female,2
2612399,4485958,Central Area,Madrona,47.60929,-122.29554,Entire home/apt,91,5,459,4.26,152,46,studio loft garden cottag,male,2
2614387,1123549,Other neighborhoods,Fremont,47.6551,-122.34316,Private room,66,2,623,5.69,54,51,artist hidden gem best seattl clean,male,2
2620429,30832,Downtown,First Hill,47.61165,-122.32899,Entire home/apt,205,3,430,3.99,102,57,downtown convent center 2br 2ba free park,male,4
3158243,3074414,University District,University District,47.66351,-122.30233,Entire home/apt,124,2,65,0.61,228,11,washer dryer u villag ravenna 304,female,91
1157083,3294357,Downtown,First Hill,47.61248,-122.32861,Entire home/apt,285,3,89,0.75,316,21,modern 2br2ba conventioncent,female,2
1159111,1787819,Downtown,First Hill,47.61385,-122.32245,Entire home/apt,173,2,145,1.22,100,13,st john apt 203alkscor 99,male,2
3173186,9187497,Downtown,Central Business District,47.60887,-122.33852,Entire home/apt,150,30,54,0.5,7,0,downtown seattl market view condo,female,1
1171574,4485958,Central Area,Madrona,47.60962,-122.2952,Entire home/apt,79,3,581,4.87,99,56,privat entranc central,male,2
2638086,13364937,West Seattle,North Admiral,47.58326,-122.3851,Entire home/apt,110,30,79,0.73,364,12,desir basement flat appletv,male,1
1175308,6432543,Ballard,Loyal Heights,47.6781,-122.38932,Entire home/apt,189,4,22,0.19,243,4,ballard oasi pacif northwest,female,1
2642359,13266307,Other neighborhoods,View Ridge,47.68467,-122.26535,Private room,50,1,425,4.01,60,57,extra larg privat bedbath park spot,male,1
2652941,33360,West Seattle,Fairmount Park,47.56613,-122.37281,Entire home/apt,81,2,189,1.74,354,39,luna park upper est seattl,female,10
3269390,12171359,Queen Anne,West Queen Anne,47.63268,-122.3671,Entire home/apt,128,3,460,4.32,265,70,detach privat guest cottag soughtaft neighborhood,female,4
3273014,3074414,University District,University District,47.66155,-122.315,Entire home/apt,88,30,21,0.2,82,2,center uw clean bright 202,female,91
1179538,6407320,Ballard,West Woodland,47.67277,-122.3747,Private room,139,1,8,0.09,9,3,first floor two bedroom modern ballard townhom,male,4
3273240,13697241,Downtown,Pioneer Square,47.6002,-122.3338,Entire home/apt,182,2,307,2.88,217,49,romant ny style loft histor heart citi,male,1
2670365,13669439,Capitol Hill,Stevens,47.63193,-122.30955,Private room,69,30,274,2.87,171,2,lightfil room 1908 victorian hip capitol hill,male,2
2686374,2231298,Ballard,Adams,47.67294,-122.38311,Entire home/apt,180,1,691,6.34,325,45,ballard bunkhous 2nd flr unitith park,male,3
3303376,30559,Other neighborhoods,Georgetown,47.55043,-122.31837,Private room,51,2,166,1.56,315,44,classi expos brick loft fridgemem foam bed,male,9
2692126,106972,Queen Anne,East Queen Anne,47.63007,-122.34499,Entire home/apt,112,2,275,2.62,121,33,queen ann 1br garden unit near space needl,male,3
2693672,13786062,Downtown,Belltown,47.61855,-122.34512,Entire home/apt,122,2,185,1.71,58,14,space needl condo,female,2
2693700,13786376,Other neighborhoods,Fremont,47.65456,-122.3594,Entire home/apt,110,2,542,5.05,317,75,fremont urban oasi,female,1
3308979,16708587,Queen Anne,West Queen Anne,47.63089,-122.36778,Entire home/apt,536,2,91,0.86,201,24,modern citi homewatersunset viewhot tubpark,female,5
3312406,16727906,Other neighborhoods,Fremont,47.66074,-122.35705,Entire home/apt,159,2,316,2.98,208,30,seattl urbanch studio cottag,male,2
3379116,14138534,Cascade,Eastlake,47.64627,-122.32271,Entire home/apt,293,2,215,2.07,233,21,enchant hidden gem heart seattl,female,1
3405896,10219841,Delridge,High Point,47.55138,-122.37518,Entire home/apt,150,6,55,1.09,0,16,styledest seattl studio near natur trail,male,1
2710274,10392662,Other neighborhoods,Wallingford,47.65924,-122.33191,Private room,71,30,189,1.73,89,1,south room cozi charm 1905 cottag,female,2
1205666,6584748,West Seattle,Gatewood,47.53029,-122.38604,Private room,99,1,305,2.55,89,22,west seattl northwest modern hm1,male,2
2727808,13959773,Other neighborhoods,Fremont,47.65856,-122.35146,Entire home/apt,95,14,214,1.98,205,0,fremont cozi cottag,female,1
3441450,16587333,Downtown,Central Business District,47.6076,-122.33938,Entire home/apt,205,6,69,0.65,288,18,zen escap pike place market,male,2
3469590,1000862,Central Area,Mann,47.6145,-122.29981,Entire home/apt,134,30,43,0.4,12,0,light fill spaciou hous central district,male,1
3505739,1801138,West Seattle,Alki,47.57776,-122.40721,Entire home/apt,164,1,276,2.61,18,11,water view seattl alki beach view bungalow,female,2
3505829,6668610,Other neighborhoods,Wallingford,47.658749,-122.328133,Entire home/apt,550,4,13,0.12,65,1,beauti craftsman park ev charger,male,1
2731253,601600,Other neighborhoods,Fremont,47.65361,-122.34931,Entire home/apt,139,3,307,2.83,343,34,pad,male,2
2760312,14107195,Other neighborhoods,Fremont,47.65412,-122.35262,Entire home/apt,199,3,435,4.04,130,31,roost rest apart artsi fremont,male,4
3510818,5635244,Ballard,Whittier Heights,47.67915,-122.37173,Entire home/apt,160,7,110,1.05,166,10,charm prewar ballard cottag,male,2
1219691,6654033,Northgate,Haller Lake,47.73206,-122.33943,Entire home/apt,119,30,67,0.56,31,2,sweet 1920 cottag n seattl,female,1
1246769,1025723,Downtown,First Hill,47.61215,-122.32971,Entire home/apt,182,3,388,3.27,122,24,light modern downtown conv ctr,male,2
3543247,17834927,Other neighborhoods,Greenwood,47.69589,-122.35908,Entire home/apt,220,1,707,6.9,222,102,spa retreatith finnish sauna saltwat hot tub,male,2
2809796,14372052,Delridge,North Delridge,47.56628,-122.36652,Entire home/apt,79,2,335,3.11,323,47,garden cottag near beachdowntown,female,1
1256892,6846442,Other neighborhoods,Phinney Ridge,47.67758,-122.35822,Entire home/apt,107,2,262,2.2,164,19,daisi mae guest space phinney ridg,female,1
2847177,3074414,University District,University District,47.66315,-122.31348,Entire home/apt,95,30,24,0.22,89,3,fast internet shortalk uw 209,female,91
2882641,13240442,Capitol Hill,Stevens,47.62494,-122.30343,Entire home/apt,220,4,91,0.84,215,8,quiet yet urban capitol hill hous,male,2
1260259,3009864,Magnolia,Lawton Park,47.66046,-122.40292,Entire home/apt,160,4,138,1.16,24,18,zen garden oasi,female,1
2923529,14926558,Queen Anne,North Queen Anne,47.64714,-122.35336,Entire home/apt,123,2,372,3.45,346,35,fremont sunris viewith free park,female,1
2931922,3074414,University District,University District,47.66308,-122.30442,Entire home/apt,140,1,38,0.36,152,13,2 bathsdviewalk uw 302,female,91
2935486,14015217,Downtown,Belltown,47.615265,-122.349747,Entire home/apt,233,1,483,4.49,242,65,2bdrmaterfront downtown seattl,female,1
3678718,33776918,Ballard,Adams,47.66911,-122.37957,Entire home/apt,89,2,351,3.35,76,27,odd lodg heart ballard,female,2
2948548,3074414,University District,University District,47.66094,-122.31542,Entire home/apt,95,30,44,0.41,188,2,center uw fast internet comfi 109,female,91
1265651,3074414,University District,University District,47.66456,-122.3046,Entire home/apt,134,30,31,0.29,170,2,quiet top floor 2 bdr 2 bath uw traild 401,female,91
1299597,7066141,Central Area,Leschi,47.60179,-122.29357,Entire home/apt,160,3,14,1.41,11,14,newli renov modern 2br basement apt leschi,male,1
3689119,1375021,Ballard,West Woodland,47.67194,-122.3652,Entire home/apt,85,30,220,2.09,365,0,garden guest hous,female,1
2950213,15060417,Ballard,Adams,47.66482,-122.38316,Entire home/apt,224,3,138,1.29,191,13,entir artist apt hip hood,female,1
1301535,468703,Ballard,Loyal Heights,47.68359,-122.38034,Entire home/apt,111,2,331,3.08,157,31,2 huge privat room common area,female,1
2970666,1121532,Capitol Hill,Broadway,47.62192,-122.32569,Entire home/apt,123,30,190,1.77,334,1,spaciou modern locat,female,6
2976798,2066223,Other neighborhoods,Wallingford,47.65491,-122.32722,Private room,65,2,269,2.7,9,41,cozi citi bedroom den,female,1
2989758,1730412,Other neighborhoods,Fremont,47.66143,-122.35278,Entire home/apt,127,2,304,2.83,43,25,sunni craftsman home fremont,female,1
3689416,6533205,Other neighborhoods,Bitter Lake,47.72494,-122.35308,Private room,79,30,30,0.29,89,0,cozi cove privat bath,male,1
3689461,3837152,Downtown,First Hill,47.61216,-122.32984,Entire home/apt,195,3,17,0.43,78,6,port peac penthous level piedterr,female,1
3706719,3074414,University District,University District,47.66157,-122.31288,Entire home/apt,102,4,29,0.28,201,8,center uw comfi clean quiet remodel kitchen 306,female,91
2995996,2781551,Central Area,Mann,47.62126,-122.29708,Entire home/apt,297,30,63,0.59,136,0,blue hous thoma corner madison valley,male,4
1351716,6592975,Central Area,Atlantic,47.59674,-122.30964,Entire home/apt,80,30,253,2.14,269,2,sparkl clean guest hous,male,1
3739681,832888,Other neighborhoods,Wallingford,47.66159,-122.33325,Entire home/apt,135,30,79,0.75,100,7,spaciou 2 brd close everyth,male,1
3022564,12086787,Rainier Valley,Columbia City,47.55995,-122.28322,Entire home/apt,102,1,716,6.69,251,85,contemporari studio columbia citi,male,2
1356339,1121532,Capitol Hill,Broadway,47.62235,-122.32594,Entire home/apt,123,30,188,1.62,325,3,capitol hill modern aptgreat locat,female,6
3053269,2231298,Ballard,Adams,47.67322,-122.3824,Entire home/apt,477,1,105,1.21,320,18,ballard bunkhousealk low fee park,male,3
3766055,19292422,Other neighborhoods,Ravenna,47.68130414806616,-122.31158852202788,Private room,52,30,86,0.82,147,3,beauti ravenna hardwood uw,female,1
3770248,3074414,University District,University District,47.66131,-122.31499,Entire home/apt,85,2,25,0.24,185,3,center uw 98alk score conveni comfi 212,female,91
3772674,18232665,Ballard,Adams,47.67345,-122.39416,Entire home/apt,95,3,339,3.25,59,32,cozi ballard apart,male,1
1365882,3074414,University District,University District,47.66178,-122.30149,Entire home/apt,126,30,36,0.31,365,2,serenedalk uwu villag 203,female,91
3818746,33360,West Seattle,North Admiral,47.58366,-122.39911,Entire home/apt,278,7,115,1.15,261,7,alki beach view home two block beach,female,10
1407502,6136210,Ballard,West Woodland,47.67306,-122.36651,Private room,70,30,27,0.25,365,0,privat garden room hip ballard,female,1
3821822,19660469,Other neighborhoods,Greenwood,47.688,-122.34463,Entire home/apt,95,4,277,2.64,216,13,sweet cozi apart green lake great forfh,female,1
3121829,4152568,Ballard,Adams,47.67204,-122.38053,Entire home/apt,104,5,36,0.34,19,1,fam friendli townhouseith peloton near,male,1
4432489,17571737,Central Area,Leschi,47.59622,-122.29585,Entire home/apt,100,30,149,1.49,73,0,spaciou spot central locat,female,1
3835995,19756727,Ballard,West Woodland,47.67209,-122.36332,Entire home/apt,84,30,367,3.5,278,1,ballard craftsman charmer,male,1
3861673,19928221,Ballard,Whittier Heights,47.68551,-122.37523,Entire home/apt,73,1,1251,11.98,195,141,beauti guest suit 2 ballard,female,1
3898413,20184201,Other neighborhoods,Fremont,47.65866,-122.34644,Private room,64,30,158,1.66,0,0,whitman acr queen room,female,2
1417880,3074414,University District,University District,47.66139,-122.31495,Entire home/apt,130,1,40,0.34,288,10,center uw 2 bed larg quiet 210,female,91
